1,343,1
1,10134,1
1,9593,1
1,10449,1
1,105,1
1,8588,1
1,7149,1
1,1652,1
1,8318,1
1,6982,1
1,10449,4
1,332,1
1,332,4
1,4664,1
1,9415,1
1,3816,1
1,9967,1
1,11434,1
1,11160,1
1,4921,1
1,5988,1
1,7761,1
1,167,1
1,6032,1
1,9790,1
1,332,2
1,3972,1
1,9912,1
1,2335,1
1,4349,1
1,10449,2
1,2360,1
1,2360,4
1,2360,2
2,10380,1
2,10380,4
2,10380,2
2,8503,1
2,12294,1
2,11927,1
2,12294,4
2,12285,4
2,11927,4
2,11501,4
3,6605,1
3,5513,1
3,5513,4
3,12085,1
3,5316,1
3,5316,3
3,5449,1
3,5449,3
3,12085,3
3,12085,4
3,4193,1
3,4240,1
3,10550,1
3,4667,1
3,4193,4
3,3367,1
3,2258,1
3,3535,1
3,3367,4
3,3367,2
3,1458,1
3,1458,3
3,7249,1
3,7249,3
3,9173,1
3,9173,4
3,4193,2
3,6493,1
3,12232,1
3,12232,3
3,12050,1
3,9325,1
3,12232,4
3,717,3
3,10885,3
3,10885,4
3,10885,1
3,10885,2
4,10127,1
4,3778,1
4,11415,1
4,1185,1
4,5032,1
4,11142,1
4,4602,1
4,687,1
4,7575,1
4,9297,1
4,5283,1
4,9332,1
4,4066,1
4,5097,1
4,4973,1
4,1989,1
4,5174,1
4,3388,1
4,5858,1
4,6776,1
4,3966,1
4,4788,1
4,11074,1
4,3541,1
4,6070,1
4,819,1
4,8878,1
4,4066,4
4,5097,4
4,6776,4
4,4602,4
4,1989,4
4,3966,4
4,1989,2
4,3966,2
4,5097,2
4,6776,2
4,11621,1
4,2333,1
4,4408,1
5,6357,2
5,6940,2
5,8794,2
5,6940,1
5,11178,1
5,6510,1
5,2703,1
5,470,1
5,5542,1
5,7688,1
5,6940,4
5,7194,1
5,7643,1
5,7564,1
5,4625,1
5,1007,1
5,7928,1
5,12091,1
5,5653,1
5,9560,1
5,4943,1
5,9685,1
5,8345,1
5,12234,1
5,1030,1
5,5109,1
5,11033,1
5,2844,1
5,2027,1
5,614,1
5,10091,1
5,3904,1
5,7116,1
5,1573,1
5,11892,1
5,5680,1
5,3728,1
5,5098,1
5,8550,1
5,1908,1
5,9785,1
5,5458,1
5,10167,1
5,5565,1
5,10881,1
5,12385,1
5,9507,1
5,4992,1
5,8930,1
5,7001,1
5,9521,1
5,11204,1
5,1843,1
5,7684,1
5,10651,1
5,10414,1
5,3634,1
5,5401,1
5,5430,1
5,2833,1
5,10265,1
5,3720,1
5,5032,1
5,9837,1
5,9572,1
5,11204,4
5,1843,4
5,7643,4
5,4507,1
5,5732,1
5,11499,1
5,3154,1
5,3772,1
5,11828,1
5,12383,1
5,10231,1
5,11544,1
5,202,1
5,7338,1
5,11650,1
5,11470,1
5,11942,1
5,11535,1
5,9364,1
5,10332,1
5,2595,1
5,3695,1
5,173,1
5,173,4
5,7508,1
5,173,2
5,1843,2
5,7643,2
5,11204,2
5,9348,1
5,2976,1
5,2667,1
5,1482,1
5,2265,1
5,2239,1
5,1709,1
5,9011,1
5,11205,1
5,5020,1
5,5020,4
5,12252,1
5,12416,1
5,5894,1
5,5020,2
5,1507,1
5,3720,4
5,551,1
5,11098,1
5,3406,1
5,9813,1
5,10869,1
5,2073,1
5,4521,1
5,4050,1
5,4705,1
5,11381,1
6,10869,1
6,9386,1
6,3292,1
6,12495,1
6,6086,1
6,7159,1
6,11660,1
6,4567,1
6,7191,1
6,10782,1
6,9332,1
6,11839,1
6,6995,1
6,11082,1
6,5783,1
6,4665,1
6,185,1
6,9755,1
6,6159,1
6,8878,1
6,8674,1
6,9436,1
6,12541,1
6,9221,1
6,9895,1
6,1312,1
6,5708,1
